Default Report
Last Modified: 2019-04-05 21:15:00 MDT


Qintro4 - What division of Spec are you in?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What division of Spec are you in?,1.00,17.00,11.88,7.46,55.69,222

#,Answer,%,Count
4,Civil Engineering and Engineering Mechanics,0.00%,0
5,"Computer Engineering ",0.00%,0
6,Computer Science,8.33%,1
7,Electrical Engineering,8.33%,1
8,Mechanical Engineering,0.00%,0
9,Industrial Engineering and Operations Research,8.33%,1
10,Other,33.33%,4
,Total,100%,12

Q3barnard - What is your first major/program of study?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What is your first major/program of study?,2.00,71.00,34.20,20.44,417.67,66

#,Answer,%,Count
1,Africana Studies,0.00%,0
2,American Studies,3.03%,2
3,Ancient Studies,0.00%,0
4,Anthropology,1.52%,1
5,Applied Mathematics,1.52%,1
6,Architecture/History & Theory of Architecture,0.00%,0
7,Art History,0.00%,0
8,Art History with a Visual Arts Concentration,1.52%,1
9,Asian & Middle Eastern Cultures,0.00%,0
10,Astronomy,0.00%,0
11,Athena Leadership Studies,0.00%,0
12,Biochemistry,0.00%,0
13,Biology,3.03%,2
14,Chemistry,1.52%,1
15,Classics,0.00%,0
16,Comparative Literature,0.00%,0
17,Computer Science,9.09%,6
18,Dance,0.00%,0
19,Economics (Economics Track),4.55%,3
20,Economics (Political Economy Track),9.09%,6
21,Economics & Mathematics,6.06%,4
22,Economic & Social History,3.03%,2
23,Education,0.00%,0
24,English,10.61%,7
25,English with Concentration in American Literature,0.00%,0
26,English with Concentration in Creative Writing,3.03%,2
27,English with Concentration in Film,0.00%,0
28,English with Concentration in Theater,0.00%,0
29,Environmental Biology,0.00%,0
30,Environment and Sustainability,0.00%,0
31,Environmental Science,0.00%,0
32,European Studies,0.00%,0
33,Film Studies,0.00%,0
34,French,0.00%,0
35,French Language & Literature,0.00%,0
36,French Translation & Literature,0.00%,0
37,French & Francophone Studies,0.00%,0
38,German,0.00%,0
39,German Literature,0.00%,0
40,German Studies,0.00%,0
41,History,7.58%,5
42,Human Rights,0.00%,0
43,Italian,0.00%,0
44,Jewish Studies,0.00%,0
45,Mathematics,3.03%,2
46,Mathematics-Computer Science,0.00%,0
47,Mathematics-Statistics,0.00%,0
48,Medieval & Renaissance Studies,0.00%,0
49,Modern Greek,0.00%,0
50,Music,0.00%,0
51,Neuroscience & Behavior,0.00%,0
52,Philosophy,1.52%,1
53,Physics,0.00%,0
54,Political Science,9.09%,6
55,Psychology,4.55%,3
56,Race & Ethnicity (MORE),0.00%,0
57,Religion,1.52%,1
58,Russian,0.00%,0
59,Russian Language & Literature,0.00%,0
60,Russian Regional Studies,0.00%,0
61,Science & Public Policy,0.00%,0
62,Slavic & East European Literature & Culture,0.00%,0
63,Slavic & East European Regional Studies,0.00%,0
64,Sociology,6.06%,4
65,Spanish & Latin American Cultures,0.00%,0
66,Statistics,0.00%,0
67,Theatre,0.00%,0
68,Translation Studies (in Comparative Literature),0.00%,0
69,Urban Studies,4.55%,3
70,"Women's, Gender & Sexuality Studies",0.00%,0
71,Other,4.55%,3
,Total,100%,66

Q4barnard - What is your second major/program of study?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What is your second major/program of study?,4.00,70.00,37.97,18.24,332.69,39

#,Answer,%,Count
1,Africana Studies,0.00%,0
2,American Studies,0.00%,0
3,Ancient Studies,0.00%,0
4,Anthropology,2.56%,1
5,Applied Mathematics,0.00%,0
6,Architecture/History & Theory of Architecture,0.00%,0
7,Art History,7.69%,3
8,Art History with a Visual Arts Concentration,0.00%,0
9,Asian & Middle Eastern Cultures,2.56%,1
10,Astronomy,0.00%,0
11,Athena Leadership Studies,0.00%,0
12,Biochemistry,0.00%,0
13,Biology,0.00%,0
14,Chemistry,0.00%,0
15,Classics,0.00%,0
16,Comparative Literature,0.00%,0
17,Computer Science,0.00%,0
18,Dance,2.56%,1
19,Economics (Economics Track),0.00%,0
20,Economics (Political Economy Track),0.00%,0
21,Economics & Mathematics,0.00%,0
22,Economic & Social History,2.56%,1
23,Education,7.69%,3
24,English,7.69%,3
25,English with Concentration in American Literature,0.00%,0
26,English with Concentration in Creative Writing,2.56%,1
27,English with Concentration in Film,0.00%,0
28,English with Concentration in Theater,0.00%,0
29,Environmental Biology,0.00%,0
30,Environment and Sustainability,0.00%,0
31,Environmental Science,2.56%,1
32,European Studies,0.00%,0
33,Film Studies,2.56%,1
34,French,0.00%,0
35,French Language & Literature,0.00%,0
36,French Translation & Literature,0.00%,0
37,French & Francophone Studies,0.00%,0
38,German,0.00%,0
39,German Literature,0.00%,0
40,German Studies,2.56%,1
41,History,2.56%,1
42,Human Rights,17.95%,7
43,Italian,0.00%,0
44,Jewish Studies,0.00%,0
45,Mathematics,2.56%,1
46,Mathematics-Computer Science,0.00%,0
47,Mathematics-Statistics,0.00%,0
48,Medieval & Renaissance Studies,0.00%,0
49,Modern Greek,0.00%,0
50,Music,0.00%,0
51,Neuroscience & Behavior,2.56%,1
52,Philosophy,0.00%,0
53,Physics,0.00%,0
54,Political Science,10.26%,4
55,Psychology,7.69%,3
56,Race & Ethnicity (MORE),2.56%,1
57,Religion,0.00%,0
58,Russian,0.00%,0
59,Russian Language & Literature,0.00%,0
60,Russian Regional Studies,0.00%,0
61,Science & Public Policy,0.00%,0
62,Slavic & East European Literature & Culture,0.00%,0
63,Slavic & East European Regional Studies,0.00%,0
64,Sociology,5.13%,2
65,Spanish & Latin American Cultures,0.00%,0
66,Statistics,0.00%,0
67,Theatre,0.00%,0
68,Translation Studies (in Comparative Literature),0.00%,0
69,Urban Studies,0.00%,0
70,"Women's, Gender & Sexuality Studies",5.13%,2
71,Other,0.00%,0
,Total,100%,39

Q5 - Are you on any pre-professional academic track?
#,Answer,%,Count
1,Pre-health,5.16%,11
2,Pre-law,15.49%,33
3,Undecided,19.72%,42
6,No,58.22%,124
4,Prefer not to say,0.47%,1
5,Other,0.94%,2
,Total,100%,213

Q5_5_TEXT - Other
Other - Text
finance

Q6 - Do you intend to go to graduate school?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Do you intend to go to graduate school?,1.00,3.00,1.96,0.96,0.92,214

#,Answer,%,Count
1,Yes,48.13%,103
2,"No ",7.48%,16
3,Undecided,44.39%,95
4,Prefer not to say,0.00%,0
,Total,100%,214

Unable to export widget. Please contact Qualtrics Support.

Q7 - Are you a student athlete?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Are you a student athlete?,1.00,2.00,1.99,0.12,0.01,211

#,Answer,%,Count
1,"Yes ",1.42%,3
2,"No ",98.58%,208
3,Prefer not to say,0.00%,0
,Total,100%,211

"Q8 - Do you participate in any other clubs, activities, or organizations other than Spec?"
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Do you participate in any other clubs, activities, or organizations other than Spec? - Selected Choice",1.00,4.00,1.18,0.47,0.23,212

#,Answer,%,Count
1,Yes,84.43%,179
2,No,13.68%,29
3,Prefer not to say,0.94%,2
4,Other,0.94%,2
,Total,100%,212

Q8_4_TEXT - Other
Other - Text
Charles Drew
I used to be in Orchesis but am not any longer.

Q9 - What clubs/activities are you involved in? (check all that apply)
#,Answer,%,Count
1,A Cappella,0.51%,2
2,Academic,7.93%,31
3,Academic Competition,0.51%,2
4,Club and Intramural Sport,5.37%,21
5,"Cultural ",7.42%,29
6,Dance,4.35%,17
7,Environmental,1.28%,5
8,Film and Visual Arts,4.60%,18
9,Gender and Sexuality,1.79%,7
10,Greek Life,5.63%,22
11,Media and Publications,9.46%,37
12,Music,3.58%,14
13,Political/Activist,9.97%,39
14,"Pre-Professional ",8.70%,34
15,Religious/Spiritual,3.32%,13
16,"Service ",6.65%,26
17,Special Interest,2.56%,10
18,Student Enterprises,1.53%,6
19,"Student Government ",3.58%,14
20,"Student Initiative ",4.86%,19
21,"Theater ",2.81%,11
22,Varsity Sports,0.51%,2
23,Other,3.07%,12
,Total,100%,391

Q9_23_TEXT - Other
Other - Text
"Undergraduate Recruitment Committee "
MRC/ Alma Ambassador
Intermural volleyball
Alumni-related
Work
Tech
"Barnard admissions "
"Science (Bioethics, Public Health)"

Q10 - Are you on the executive board of any other student organizations/clubs at Columbia? (Please list the names of these organizations).
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Are you on the executive board of any other student organizations/clubs at Columbia? (Please list the names of these organizations). - Selected Choice,1.00,3.00,1.72,0.47,0.22,208

#,Answer,%,Count
1,Yes,29.33%,61
2,No,69.71%,145
3,Other,0.96%,2
,Total,100%,208

Q10_1_TEXT - Yes
Yes - Text
Her Campus Columbia Barnard
Journal for Politicals and Society
Alpha Omicron Pi
CU Women of Color Pre Law Society
Columbia Hiking Club
"Columbia Economics Society, Alpha Kappa Psi, 116th and Partners"
Biomedical Engineering Society
Columbia Pops
Columbia University Ballet Ensemble
Alpha Omicron Pi
CSR
"DKA "
CU Women of Color Prelaw Society
"International Advisory board "
CCSA
"Grupo quisqueyano, FLIP"
KCST
"SGA (co-chair of a committee), and going to be on the E-board of Black Theatre Ensemble"
"Columbia HeForShe "
JADE
Women of Color Pre-Law Society
"Biomedical Engineering Society, Schapiro Hall Council"
Econ Society
CIC
Turath
AAA
Columbia European Society
"SOL, CU/Barnard Arab women "
"Bacchanal "
CIC
JADE
Symposium
"4x4 Magazine, Consilience"
CU Tonight
Columbia Political Union
American Society of Civil Engineers
"National Society of Black Engineers "
Engineering Student Council
Columbia Planned Parenthood Generation Action
"Community Impact, Quarto"
One for the World
Alpha Omicron Pi Fraternity
International Socialist Organization at Barnard and Columbia
Columbia Women's Business Society
Christian Union
"Columbia International Ventures, Praetorian Society, McBain Hall Council, One for the World Columbia"
"4x4, Bioethics Society"
"Cu Photo Society, Pink Freud: Psychology Journal of Barnard College"
Frisbee

Q10_3_TEXT - Other
Other - Text
Society of Latinx
Athena Digital Design Agency

Q11 - What race/ethnicity do you identify as? (check all that apply)
#,Answer,%,Count
1,American Indian or Alaska Native,1.63%,4
3,Black or African-American,7.76%,19
10,East Asian,26.12%,64
13,South Asian,8.57%,21
4,Hispanic or Latinx,11.43%,28
12,Native Hawaiian or Other Pacific Islander,0.00%,0
6,White,39.18%,96
7,Prefer not to say,1.22%,3
8,Other,4.08%,10
,Total,100%,245

Q11_8_TEXT - Other
Other - Text
Middle Eastern
Southeast Asian
Southeast Asia
Multiracial/cultural
Southeast Asian
"Jewish (North African / Eastern European mix) "
Middle Eastern
"Middle eastern "
Arab / Middle Eastern

Q12 - What gender do you identify as?
Data source misconfigured for this visualization

#,Answer,%,Count
1,Woman,75.71%,159
2,Man,22.38%,47
3,Genderfluid,0.00%,0
4,Nonbinary,1.90%,4
5,Prefer not to say,0.00%,0
6,Other,0.00%,0
,Total,100%,210

Q12_6_TEXT - Other
Other - Text

Q35 - Do you identify as trans?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Do you identify as trans?,1.00,3.00,2.00,0.10,0.01,209

#,Answer,%,Count
1,Yes,0.48%,1
2,No,99.04%,207
3,Prefer not to say,0.48%,1
,Total,100%,209

Q13 - What is your sexual orientation?
#,Answer,%,Count
1,"Straight (heterosexual) ",62.67%,136
2,Gay/Lesbian,6.91%,15
4,Bisexual,14.75%,32
5,Asexual,0.46%,1
6,Pansexual,2.76%,6
7,"Queer ",5.07%,11
8,Questioning or Unsure,5.07%,11
9,Prefer not to say,2.30%,5
10,Other,0.00%,0
,Total,100%,217

Q13_10_TEXT - Other
Other - Text

Q14 - What country are you from?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What country are you from?,17.00,220.00,184.84,59.57,3548.14,208

#,Answer,%,Count
215,United States,75.00%,156
1,"Afghanistan ",0.00%,0
2,"Albania ",0.00%,0
3,"Algeria ",0.00%,0
4,"American Samoa ",0.00%,0
5,"Andorra ",0.00%,0
6,"Angola ",0.00%,0
7,"Anguilla ",0.00%,0
8,"Antigua & Barbuda ",0.00%,0
9,"Argentina ",0.00%,0
10,"Armenia ",0.00%,0
11,"Aruba ",0.00%,0
12,"Australia ",0.00%,0
13,"Austria ",0.00%,0
14,"Azerbaijan ",0.00%,0
15,"Bahamas, The ",0.00%,0
16,"Bahrain ",0.00%,0
17,"Bangladesh ",0.48%,1
18,"Barbados ",0.00%,0
19,"Belarus ",0.00%,0
20,"Belgium ",0.00%,0
21,"Belize ",0.00%,0
22,"Benin ",0.00%,0
23,"Bermuda ",0.00%,0
24,"Bhutan ",0.00%,0
25,"Bolivia ",0.00%,0
26,"Bosnia & Herzegovina ",0.00%,0
27,"Botswana ",0.00%,0
28,"Brazil ",0.96%,2
29,"British Virgin Is. ",0.00%,0
30,"Brunei ",0.00%,0
31,"Bulgaria ",0.00%,0
32,"Burkina Faso ",0.00%,0
33,"Burma ",0.00%,0
34,"Burundi ",0.00%,0
35,"Cambodia ",0.00%,0
36,"Cameroon ",0.00%,0
37,"Canada ",1.44%,3
38,"Cape Verde ",0.00%,0
39,"Cayman Islands ",0.00%,0
40,"Central African Rep. ",0.00%,0
41,"Chad ",0.00%,0
42,"Chile ",0.00%,0
43,"China ",5.77%,12
44,"Colombia ",0.96%,2
45,"Comoros ",0.00%,0
46,"Congo, Dem. Rep. ",0.00%,0
47,"Congo, Repub. of the ",0.00%,0
48,"Cook Islands ",0.00%,0
49,"Costa Rica ",0.00%,0
50,"Cote d'Ivoire ",0.00%,0
51,"Croatia ",0.00%,0
52,"Cuba ",0.00%,0
53,"Cyprus ",0.00%,0
54,"Czech Republic ",0.00%,0
55,"Denmark ",0.00%,0
56,"Djibouti ",0.00%,0
57,"Dominica ",0.00%,0
58,"Dominican Republic ",0.00%,0
59,"East Timor ",0.00%,0
60,"Ecuador ",0.00%,0
61,"Egypt ",0.00%,0
62,"El Salvador ",0.48%,1
63,"Equatorial Guinea ",0.00%,0
64,"Eritrea ",0.48%,1
65,"Estonia ",0.00%,0
66,"Ethiopia ",0.00%,0
67,"Faroe Islands ",0.00%,0
68,"Fiji ",0.00%,0
69,"Finland ",0.00%,0
70,"France ",0.96%,2
71,"French Guiana ",0.00%,0
72,"French Polynesia ",0.00%,0
73,"Gabon ",0.00%,0
74,"Gambia, The ",0.00%,0
75,"Gaza Strip ",0.00%,0
76,"Georgia ",0.00%,0
77,"Germany ",0.00%,0
78,"Ghana ",0.00%,0
79,"Gibraltar ",0.00%,0
80,"Greece ",0.00%,0
81,"Greenland ",0.00%,0
82,"Grenada ",0.00%,0
83,"Guadeloupe ",0.00%,0
84,"Guam ",0.00%,0
85,"Guatemala ",0.00%,0
86,"Guernsey ",0.00%,0
87,"Guinea ",0.00%,0
88,"Guinea-Bissau ",0.00%,0
89,"Guyana ",0.00%,0
90,"Haiti ",0.00%,0
91,"Honduras ",0.00%,0
92,"Hong Kong ",0.00%,0
93,"Hungary ",0.00%,0
94,"Iceland ",0.00%,0
95,"India ",1.92%,4
96,"Indonesia ",0.96%,2
97,"Iran ",0.96%,2
98,"Iraq ",0.00%,0
99,"Ireland ",0.00%,0
100,"Isle of Man ",0.00%,0
101,"Israel ",0.00%,0
102,"Italy ",0.48%,1
103,"Jamaica ",0.00%,0
104,"Japan ",0.48%,1
105,"Jersey ",0.00%,0
106,"Jordan ",0.00%,0
107,"Kazakhstan ",0.00%,0
108,"Kenya ",0.00%,0
109,"Kiribati ",0.00%,0
110,"Korea, North ",0.00%,0
111,"Korea, South ",1.44%,3
112,"Kuwait ",0.00%,0
113,"Kyrgyzstan ",0.00%,0
114,"Laos ",0.00%,0
115,"Latvia ",0.00%,0
116,"Lebanon ",0.48%,1
117,"Lesotho ",0.00%,0
118,"Liberia ",0.00%,0
119,"Libya ",0.00%,0
120,"Liechtenstein ",0.00%,0
121,"Lithuania ",0.00%,0
122,"Luxembourg ",0.48%,1
123,"Macau ",0.00%,0
124,"Macedonia ",0.00%,0
125,"Madagascar ",0.00%,0
126,"Malawi ",0.00%,0
127,"Malaysia ",0.00%,0
128,"Maldives ",0.00%,0
129,"Mali ",0.00%,0
130,"Malta ",0.00%,0
131,"Marshall Islands ",0.00%,0
132,"Martinique ",0.00%,0
133,"Mauritania ",0.00%,0
134,"Mauritius ",0.00%,0
135,"Mayotte ",0.00%,0
136,"Mexico ",0.96%,2
137,"Micronesia, Fed. St. ",0.00%,0
138,"Moldova ",0.00%,0
139,"Monaco ",0.00%,0
140,"Mongolia ",0.00%,0
141,"Montserrat ",0.00%,0
142,"Morocco ",0.48%,1
143,"Mozambique ",0.00%,0
144,"Namibia ",0.00%,0
145,"Nauru ",0.00%,0
146,"Nepal ",0.00%,0
147,"Netherlands ",0.00%,0
148,"Netherlands Antilles ",0.00%,0
149,"New Caledonia ",0.00%,0
150,"New Zealand ",0.00%,0
151,"Nicaragua ",0.00%,0
152,"Niger ",0.00%,0
153,"Nigeria ",0.48%,1
154,"N. Mariana Islands ",0.48%,1
155,"Norway ",0.00%,0
156,"Oman ",0.00%,0
157,"Pakistan ",0.48%,1
158,"Palau ",0.00%,0
159,"Panama ",0.00%,0
160,"Papua New Guinea ",0.00%,0
161,"Paraguay ",0.00%,0
162,"Peru ",0.00%,0
163,"Philippines ",0.00%,0
164,"Poland ",0.00%,0
165,"Portugal ",0.00%,0
166,"Puerto Rico ",0.48%,1
167,"Qatar ",0.00%,0
168,"Reunion ",0.00%,0
169,"Romania ",0.00%,0
170,"Russia ",0.00%,0
171,"Rwanda ",0.00%,0
172,"Saint Helena ",0.00%,0
173,"Saint Kitts & Nevis ",0.00%,0
174,"Saint Lucia ",0.00%,0
175,"St Pierre & Miquelon ",0.00%,0
176,"Saint Vincent and the Grenadines ",0.00%,0
177,"Samoa ",0.00%,0
178,"San Marino ",0.00%,0
179,"Sao Tome & Principe ",0.00%,0
180,"Saudi Arabia ",0.00%,0
181,"Senegal ",0.00%,0
182,"Serbia ",0.00%,0
183,"Seychelles ",0.00%,0
184,"Sierra Leone ",0.00%,0
185,"Singapore ",0.00%,0
186,"Slovakia ",0.00%,0
187,"Slovenia ",0.00%,0
188,"Solomon Islands ",0.00%,0
189,"Somalia ",0.00%,0
190,"South Africa ",0.00%,0
191,"Spain ",0.00%,0
192,"Sri Lanka ",0.00%,0
193,"Sudan ",0.00%,0
194,"Suriname ",0.00%,0
195,"Swaziland ",0.00%,0
196,"Sweden ",0.00%,0
197,"Switzerland ",0.00%,0
198,"Syria ",0.00%,0
199,"Taiwan ",0.48%,1
200,"Tajikistan ",0.00%,0
201,"Tanzania ",0.00%,0
202,"Thailand ",0.00%,0
203,"Togo ",0.00%,0
204,"Tonga ",0.00%,0
205,"Trinidad & Tobago ",0.00%,0
206,"Tunisia ",0.00%,0
207,"Turkey ",0.48%,1
208,"Turkmenistan ",0.00%,0
209,"Turks & Caicos Is ",0.00%,0
210,"Tuvalu ",0.00%,0
211,"Uganda ",0.00%,0
212,"Ukraine ",0.48%,1
213,"United Arab Emirates ",0.00%,0
214,"United Kingdom ",0.96%,2
216,"Uruguay ",0.00%,0
217,"Uzbekistan ",0.00%,0
218,"Vanuatu ",0.00%,0
219,"Venezuela ",0.00%,0
220,"Vietnam ",0.48%,1
221,"Virgin Islands ",0.00%,0
222,"Wallis and Futuna ",0.00%,0
223,"West Bank ",0.00%,0
224,"Western Sahara ",0.00%,0
225,"Yemen ",0.00%,0
226,"Zambia ",0.00%,0
227,Zimbabwe,0.00%,0
,Total,100%,208

Q15 - What state or US territory are you from?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What state or US territory are you from?,5.00,56.00,23.43,15.31,234.26,146

#,Answer,%,Count
1,Alabama,0.00%,0
2,Alaska,0.00%,0
3,American Samoa,0.00%,0
4,Arkansas,0.00%,0
5,California,19.18%,28
6,Colorado,4.11%,6
7,Connecticut,4.79%,7
8,Delaware,0.68%,1
9,District of Columbia (DC),3.42%,5
10,Florida,3.42%,5
11,Georgia,0.68%,1
12,Guam,0.00%,0
13,Hawaii,1.37%,2
14,Idaho,0.00%,0
15,Illinois,3.42%,5
16,Indiana,0.00%,0
17,Iowa,0.68%,1
18,Kansas,0.00%,0
19,Kentucky,0.00%,0
20,Louisiana,1.37%,2
21,Maine,1.37%,2
22,Maryland,0.68%,1
23,Massachusetts,4.11%,6
24,Michigan,4.11%,6
25,Minnesota,1.37%,2
26,Mississippi,0.00%,0
27,Missouri,0.68%,1
28,Montana,0.68%,1
29,Nebraska,0.00%,0
30,Nevada,0.00%,0
31,New Hampshire,0.00%,0
32,New Jersey,8.90%,13
33,New Mexico,0.68%,1
34,New York,15.75%,23
35,North Carolina,0.68%,1
36,North Dakota,0.00%,0
37,Northern Marianas Islands,0.00%,0
38,Ohio,0.68%,1
39,Oklahoma,0.00%,0
40,Oregon,0.68%,1
41,Pennsylvania,3.42%,5
42,Puerto Rico,0.00%,0
43,Rhode Island,0.00%,0
44,South Carolina,0.00%,0
45,South Dakota,0.00%,0
