Default Report
Last Modified: 2019-04-06 12:27:44 MDT


Qintro4 - What division of Spec are you in?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What division of Spec are you in?,1.00,1.00,1.00,0.00,0.00,71

#,Answer,%,Count
27,French and Romance Philology,0.00%,0
28,Germanic Languages,0.00%,0
29,History,0.00%,0
30,History and Philosophy of Science,0.00%,0
31,Human Rights,0.00%,0
32,Italian,0.00%,0
33,Jazz Studies,0.00%,0
34,Jewish Studies,0.00%,0
35,Language Resource Center,0.00%,0
36,Latin American and Caribbean Studies,0.00%,0
37,Latin American and Iberian Cultures,0.00%,0
38,Linguistics,0.00%,0
39,Mathematics,7.69%,2
40,Medieval and Renaissance Studies,0.00%,0
41,"Middle Eastern, South Asian, and African Studies",3.85%,1
42,Music,3.85%,1
43,Philosophy,0.00%,0
44,Physical Education and Intercollegiate Athletics,0.00%,0
45,Physics,3.85%,1
46,Political Science,19.23%,5
47,Psychology,3.85%,1
48,Public Health,3.85%,1
49,Regional Studies,0.00%,0
50,Religion,0.00%,0
51,Slavic Languages,0.00%,0
52,Sociology,7.69%,2
53,Statistics,7.69%,2
54,Sustainable Development,0.00%,0
55,Urban Studies,0.00%,0
56,Visual Arts,3.85%,1
57,Women's and Gender Studies,0.00%,0
58,Other,3.85%,1
,Total,100%,26

Q3seas - What is your first major/program of study?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What is your first major/program of study?,1.00,9.00,6.19,1.52,2.31,26

#,Answer,%,Count
1,Applied Math,3.85%,1
2,Biomedical Engineering,0.00%,0
3,Chemical Engineering,0.00%,0
4,Civil Engineering and Engineering Mechanics,3.85%,1
5,"Computer Engineering ",0.00%,0
6,Computer Science,73.08%,19
7,Electrical Engineering,3.85%,1
8,Mechanical Engineering,3.85%,1
9,Industrial Engineering and Operations Research,11.54%,3
10,Other,0.00%,0
,Total,100%,26

Q4seas - What is your second major/program of study?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What is your second major/program of study?,1.00,10.00,6.60,3.69,13.64,10

#,Answer,%,Count
1,Applied Math,20.00%,2
2,Biomedical Engineering,10.00%,1
3,Chemical Engineering,0.00%,0
4,Civil Engineering and Engineering Mechanics,0.00%,0
5,"Computer Engineering ",0.00%,0
6,Computer Science,10.00%,1
7,Electrical Engineering,10.00%,1
8,Mechanical Engineering,0.00%,0
9,Industrial Engineering and Operations Research,10.00%,1
10,Other,40.00%,4
,Total,100%,10

Q3barnard - What is your first major/program of study?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What is your first major/program of study?,17.00,64.00,28.00,16.10,259.25,8

#,Answer,%,Count
1,Africana Studies,0.00%,0
2,American Studies,0.00%,0
3,Ancient Studies,0.00%,0
4,Anthropology,0.00%,0
5,Applied Mathematics,0.00%,0
6,Architecture/History & Theory of Architecture,0.00%,0
7,Art History,0.00%,0
8,Art History with a Visual Arts Concentration,0.00%,0
9,Asian & Middle Eastern Cultures,0.00%,0
10,Astronomy,0.00%,0
11,Athena Leadership Studies,0.00%,0
12,Biochemistry,0.00%,0
13,Biology,0.00%,0
14,Chemistry,0.00%,0
15,Classics,0.00%,0
16,Comparative Literature,0.00%,0
17,Computer Science,25.00%,2
18,Dance,0.00%,0
19,Economics (Economics Track),25.00%,2
20,Economics (Political Economy Track),0.00%,0
21,Economics & Mathematics,12.50%,1
22,Economic & Social History,12.50%,1
23,Education,0.00%,0
24,English,0.00%,0
25,English with Concentration in American Literature,0.00%,0
26,English with Concentration in Creative Writing,0.00%,0
27,English with Concentration in Film,0.00%,0
28,English with Concentration in Theater,0.00%,0
29,Environmental Biology,0.00%,0
30,Environment and Sustainability,0.00%,0
31,Environmental Science,0.00%,0
32,European Studies,0.00%,0
33,Film Studies,0.00%,0
34,French,0.00%,0
35,French Language & Literature,0.00%,0
36,French Translation & Literature,0.00%,0
37,French & Francophone Studies,0.00%,0
38,German,0.00%,0
39,German Literature,0.00%,0
40,German Studies,0.00%,0
41,History,0.00%,0
42,Human Rights,0.00%,0
43,Italian,0.00%,0
44,Jewish Studies,0.00%,0
45,Mathematics,12.50%,1
46,Mathematics-Computer Science,0.00%,0
47,Mathematics-Statistics,0.00%,0
48,Medieval & Renaissance Studies,0.00%,0
49,Modern Greek,0.00%,0
50,Music,0.00%,0
51,Neuroscience & Behavior,0.00%,0
52,Philosophy,0.00%,0
53,Physics,0.00%,0
54,Political Science,0.00%,0
55,Psychology,0.00%,0
56,Race & Ethnicity (MORE),0.00%,0
57,Religion,0.00%,0
58,Russian,0.00%,0
59,Russian Language & Literature,0.00%,0
60,Russian Regional Studies,0.00%,0
61,Science & Public Policy,0.00%,0
62,Slavic & East European Literature & Culture,0.00%,0
63,Slavic & East European Regional Studies,0.00%,0
64,Sociology,12.50%,1
65,Spanish & Latin American Cultures,0.00%,0
66,Statistics,0.00%,0
67,Theatre,0.00%,0
68,Translation Studies (in Comparative Literature),0.00%,0
69,Urban Studies,0.00%,0
70,"Women's, Gender & Sexuality Studies",0.00%,0
71,Other,0.00%,0
,Total,100%,8

Q4barnard - What is your second major/program of study?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What is your second major/program of study?,23.00,55.00,44.25,12.87,165.69,4

#,Answer,%,Count
1,Africana Studies,0.00%,0
2,American Studies,0.00%,0
3,Ancient Studies,0.00%,0
4,Anthropology,0.00%,0
5,Applied Mathematics,0.00%,0
6,Architecture/History & Theory of Architecture,0.00%,0
7,Art History,0.00%,0
8,Art History with a Visual Arts Concentration,0.00%,0
9,Asian & Middle Eastern Cultures,0.00%,0
10,Astronomy,0.00%,0
11,Athena Leadership Studies,0.00%,0
12,Biochemistry,0.00%,0
13,Biology,0.00%,0
14,Chemistry,0.00%,0
15,Classics,0.00%,0
16,Comparative Literature,0.00%,0
17,Computer Science,0.00%,0
18,Dance,0.00%,0
19,Economics (Economics Track),0.00%,0
20,Economics (Political Economy Track),0.00%,0
21,Economics & Mathematics,0.00%,0
22,Economic & Social History,0.00%,0
23,Education,25.00%,1
24,English,0.00%,0
25,English with Concentration in American Literature,0.00%,0
26,English with Concentration in Creative Writing,0.00%,0
27,English with Concentration in Film,0.00%,0
28,English with Concentration in Theater,0.00%,0
29,Environmental Biology,0.00%,0
30,Environment and Sustainability,0.00%,0
31,Environmental Science,0.00%,0
32,European Studies,0.00%,0
33,Film Studies,0.00%,0
34,French,0.00%,0
35,French Language & Literature,0.00%,0
36,French Translation & Literature,0.00%,0
37,French & Francophone Studies,0.00%,0
38,German,0.00%,0
39,German Literature,0.00%,0
40,German Studies,0.00%,0
41,History,0.00%,0
42,Human Rights,0.00%,0
43,Italian,0.00%,0
44,Jewish Studies,0.00%,0
45,Mathematics,25.00%,1
46,Mathematics-Computer Science,0.00%,0
47,Mathematics-Statistics,0.00%,0
48,Medieval & Renaissance Studies,0.00%,0
49,Modern Greek,0.00%,0
50,Music,0.00%,0
51,Neuroscience & Behavior,0.00%,0
52,Philosophy,0.00%,0
53,Physics,0.00%,0
54,Political Science,25.00%,1
55,Psychology,25.00%,1
56,Race & Ethnicity (MORE),0.00%,0
57,Religion,0.00%,0
58,Russian,0.00%,0
59,Russian Language & Literature,0.00%,0
60,Russian Regional Studies,0.00%,0
61,Science & Public Policy,0.00%,0
62,Slavic & East European Literature & Culture,0.00%,0
63,Slavic & East European Regional Studies,0.00%,0
64,Sociology,0.00%,0
65,Spanish & Latin American Cultures,0.00%,0
66,Statistics,0.00%,0
67,Theatre,0.00%,0
68,Translation Studies (in Comparative Literature),0.00%,0
69,Urban Studies,0.00%,0
70,"Women's, Gender & Sexuality Studies",0.00%,0
71,Other,0.00%,0
,Total,100%,4

Q5 - Are you on any pre-professional academic track?
#,Answer,%,Count
1,Pre-health,1.43%,1
2,Pre-law,8.57%,6
3,Undecided,25.71%,18
6,No,62.86%,44
4,Prefer not to say,0.00%,0
5,Other,1.43%,1
,Total,100%,70

Q5_5_TEXT - Other
Other - Text
finance

Q6 - Do you intend to go to graduate school?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Do you intend to go to graduate school?,1.00,3.00,2.12,0.93,0.86,69

#,Answer,%,Count
1,Yes,37.68%,26
2,"No ",13.04%,9
3,Undecided,49.28%,34
4,Prefer not to say,0.00%,0
,Total,100%,69

Unable to export widget. Please contact Qualtrics Support.

Q7 - Are you a student athlete?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Are you a student athlete?,2.00,2.00,2.00,0.00,0.00,67

#,Answer,%,Count
1,"Yes ",0.00%,0
2,"No ",100.00%,67
3,Prefer not to say,0.00%,0
,Total,100%,67

"Q8 - Do you participate in any other clubs, activities, or organizations other than Spec?"
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Do you participate in any other clubs, activities, or organizations other than Spec? - Selected Choice",1.00,3.00,1.16,0.41,0.17,67

#,Answer,%,Count
1,Yes,85.07%,57
2,No,13.43%,9
3,Prefer not to say,1.49%,1
4,Other,0.00%,0
,Total,100%,67

Q8_4_TEXT - Other
Other - Text

Q9 - What clubs/activities are you involved in? (check all that apply)
#,Answer,%,Count
1,A Cappella,0.00%,0
2,Academic,11.76%,14
3,Academic Competition,0.00%,0
4,Club and Intramural Sport,6.72%,8
5,"Cultural ",10.08%,12
6,Dance,0.84%,1
7,Environmental,0.84%,1
8,Film and Visual Arts,3.36%,4
9,Gender and Sexuality,0.84%,1
10,Greek Life,7.56%,9
11,Media and Publications,4.20%,5
12,Music,4.20%,5
13,Political/Activist,5.04%,6
14,"Pre-Professional ",11.76%,14
15,Religious/Spiritual,2.52%,3
16,"Service ",5.88%,7
17,Special Interest,1.68%,2
18,Student Enterprises,4.20%,5
19,"Student Government ",4.20%,5
20,"Student Initiative ",10.08%,12
21,"Theater ",0.84%,1
22,Varsity Sports,0.00%,0
23,Other,3.36%,4
,Total,100%,119

Q9_23_TEXT - Other
Other - Text
Alumni-related
Tech

Q10 - Are you on the executive board of any other student organizations/clubs at Columbia? (Please list the names of these organizations).
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Are you on the executive board of any other student organizations/clubs at Columbia? (Please list the names of these organizations). - Selected Choice,1.00,3.00,1.68,0.50,0.25,66

#,Answer,%,Count
1,Yes,33.33%,22
2,No,65.15%,43
3,Other,1.52%,1
,Total,100%,66

Q10_1_TEXT - Yes
Yes - Text
Alpha Omicron Pi
Columbia Hiking Club
"Columbia Economics Society, Alpha Kappa Psi, 116th and Partners"
Alpha Omicron Pi
CSR
CCSA
"Grupo quisqueyano, FLIP"
"SGA (co-chair of a committee), and going to be on the E-board of Black Theatre Ensemble"
JADE
"Biomedical Engineering Society, Schapiro Hall Council"
Econ Society
CIC
CIC
JADE
American Society of Civil Engineers
Engineering Student Council
Alpha Omicron Pi Fraternity
Columbia Women's Business Society
"Columbia International Ventures, Praetorian Society, McBain Hall Council, One for the World Columbia"

Q10_3_TEXT - Other
Other - Text
Athena Digital Design Agency

Q11 - What race/ethnicity do you identify as? (check all that apply)
#,Answer,%,Count
1,American Indian or Alaska Native,2.63%,2
3,Black or African-American,9.21%,7
10,East Asian,40.79%,31
13,South Asian,7.89%,6
4,Hispanic or Latinx,10.53%,8
12,Native Hawaiian or Other Pacific Islander,0.00%,0
6,White,27.63%,21
7,Prefer not to say,0.00%,0
8,Other,1.32%,1
,Total,100%,76

Q11_8_TEXT - Other
Other - Text
Southeast Asia

Q12 - What gender do you identify as?
Data source misconfigured for this visualization

#,Answer,%,Count
1,Woman,68.66%,46
2,Man,31.34%,21
3,Genderfluid,0.00%,0
4,Nonbinary,0.00%,0
5,Prefer not to say,0.00%,0
6,Other,0.00%,0
,Total,100%,67

Q12_6_TEXT - Other
Other - Text

Q35 - Do you identify as trans?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Do you identify as trans?,2.00,2.00,2.00,0.00,0.00,67

#,Answer,%,Count
1,Yes,0.00%,0
2,No,100.00%,67
3,Prefer not to say,0.00%,0
,Total,100%,67

Q13 - What is your sexual orientation?
#,Answer,%,Count
1,"Straight (heterosexual) ",71.01%,49
2,Gay/Lesbian,2.90%,2
4,Bisexual,14.49%,10
5,Asexual,1.45%,1
6,Pansexual,1.45%,1
7,"Queer ",4.35%,3
8,Questioning or Unsure,4.35%,3
9,Prefer not to say,0.00%,0
10,Other,0.00%,0
,Total,100%,69

Q13_10_TEXT - Other
Other - Text

Q14 - What country are you from?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What country are you from?,37.00,215.00,175.66,67.33,4533.12,67

#,Answer,%,Count
215,United States,70.15%,47
1,"Afghanistan ",0.00%,0
2,"Albania ",0.00%,0
3,"Algeria ",0.00%,0
4,"American Samoa ",0.00%,0
5,"Andorra ",0.00%,0
6,"Angola ",0.00%,0
7,"Anguilla ",0.00%,0
8,"Antigua & Barbuda ",0.00%,0
9,"Argentina ",0.00%,0
10,"Armenia ",0.00%,0
11,"Aruba ",0.00%,0
12,"Australia ",0.00%,0
13,"Austria ",0.00%,0
14,"Azerbaijan ",0.00%,0
15,"Bahamas, The ",0.00%,0
16,"Bahrain ",0.00%,0
17,"Bangladesh ",0.00%,0
18,"Barbados ",0.00%,0
19,"Belarus ",0.00%,0
20,"Belgium ",0.00%,0
21,"Belize ",0.00%,0
22,"Benin ",0.00%,0
23,"Bermuda ",0.00%,0
24,"Bhutan ",0.00%,0
25,"Bolivia ",0.00%,0
26,"Bosnia & Herzegovina ",0.00%,0
27,"Botswana ",0.00%,0
28,"Brazil ",0.00%,0
29,"British Virgin Is. ",0.00%,0
30,"Brunei ",0.00%,0
31,"Bulgaria ",0.00%,0
32,"Burkina Faso ",0.00%,0
33,"Burma ",0.00%,0
34,"Burundi ",0.00%,0
35,"Cambodia ",0.00%,0
36,"Cameroon ",0.00%,0
37,"Canada ",2.99%,2
38,"Cape Verde ",0.00%,0
39,"Cayman Islands ",0.00%,0
40,"Central African Rep. ",0.00%,0
41,"Chad ",0.00%,0
42,"Chile ",0.00%,0
43,"China ",11.94%,8
44,"Colombia ",1.49%,1
45,"Comoros ",0.00%,0
46,"Congo, Dem. Rep. ",0.00%,0
47,"Congo, Repub. of the ",0.00%,0
48,"Cook Islands ",0.00%,0
49,"Costa Rica ",0.00%,0
50,"Cote d'Ivoire ",0.00%,0
51,"Croatia ",0.00%,0
52,"Cuba ",0.00%,0
53,"Cyprus ",0.00%,0
54,"Czech Republic ",0.00%,0
55,"Denmark ",0.00%,0
56,"Djibouti ",0.00%,0
57,"Dominica ",0.00%,0
58,"Dominican Republic ",0.00%,0
59,"East Timor ",0.00%,0
60,"Ecuador ",0.00%,0
61,"Egypt ",0.00%,0
62,"El Salvador ",0.00%,0
63,"Equatorial Guinea ",0.00%,0
64,"Eritrea ",0.00%,0
65,"Estonia ",0.00%,0
66,"Ethiopia ",0.00%,0
67,"Faroe Islands ",0.00%,0
68,"Fiji ",0.00%,0
69,"Finland ",0.00%,0
70,"France ",1.49%,1
71,"French Guiana ",0.00%,0
72,"French Polynesia ",0.00%,0
73,"Gabon ",0.00%,0
74,"Gambia, The ",0.00%,0
75,"Gaza Strip ",0.00%,0
76,"Georgia ",0.00%,0
77,"Germany ",0.00%,0
78,"Ghana ",0.00%,0
79,"Gibraltar ",0.00%,0
80,"Greece ",0.00%,0
81,"Greenland ",0.00%,0
82,"Grenada ",0.00%,0
83,"Guadeloupe ",0.00%,0
84,"Guam ",0.00%,0
85,"Guatemala ",0.00%,0
86,"Guernsey ",0.00%,0
87,"Guinea ",0.00%,0
88,"Guinea-Bissau ",0.00%,0
89,"Guyana ",0.00%,0
90,"Haiti ",0.00%,0
91,"Honduras ",0.00%,0
92,"Hong Kong ",0.00%,0
93,"Hungary ",0.00%,0
94,"Iceland ",0.00%,0
95,"India ",0.00%,0
96,"Indonesia ",1.49%,1
97,"Iran ",1.49%,1
98,"Iraq ",0.00%,0
99,"Ireland ",0.00%,0
100,"Isle of Man ",0.00%,0
101,"Israel ",0.00%,0
102,"Italy ",0.00%,0
103,"Jamaica ",0.00%,0
104,"Japan ",0.00%,0
105,"Jersey ",0.00%,0
106,"Jordan ",0.00%,0
107,"Kazakhstan ",0.00%,0
108,"Kenya ",0.00%,0
109,"Kiribati ",0.00%,0
110,"Korea, North ",0.00%,0
111,"Korea, South ",2.99%,2
112,"Kuwait ",0.00%,0
113,"Kyrgyzstan ",0.00%,0
114,"Laos ",0.00%,0
115,"Latvia ",0.00%,0
116,"Lebanon ",0.00%,0
117,"Lesotho ",0.00%,0
118,"Liberia ",0.00%,0
119,"Libya ",0.00%,0
120,"Liechtenstein ",0.00%,0
121,"Lithuania ",0.00%,0
122,"Luxembourg ",0.00%,0
123,"Macau ",0.00%,0
124,"Macedonia ",0.00%,0
125,"Madagascar ",0.00%,0
126,"Malawi ",0.00%,0
127,"Malaysia ",0.00%,0
128,"Maldives ",0.00%,0
129,"Mali ",0.00%,0
130,"Malta ",0.00%,0
131,"Marshall Islands ",0.00%,0
132,"Martinique ",0.00%,0
133,"Mauritania ",0.00%,0
134,"Mauritius ",0.00%,0
135,"Mayotte ",0.00%,0
136,"Mexico ",0.00%,0
137,"Micronesia, Fed. St. ",0.00%,0
138,"Moldova ",0.00%,0
139,"Monaco ",0.00%,0
140,"Mongolia ",0.00%,0
141,"Montserrat ",0.00%,0
142,"Morocco ",0.00%,0
143,"Mozambique ",0.00%,0
144,"Namibia ",0.00%,0
145,"Nauru ",0.00%,0
146,"Nepal ",0.00%,0
147,"Netherlands ",0.00%,0
148,"Netherlands Antilles ",0.00%,0
149,"New Caledonia ",0.00%,0
150,"New Zealand ",0.00%,0
151,"Nicaragua ",0.00%,0
152,"Niger ",0.00%,0
153,"Nigeria ",0.00%,0
154,"N. Mariana Islands ",1.49%,1
155,"Norway ",0.00%,0
156,"Oman ",0.00%,0
157,"Pakistan ",1.49%,1
158,"Palau ",0.00%,0
159,"Panama ",0.00%,0
160,"Papua New Guinea ",0.00%,0
161,"Paraguay ",0.00%,0
162,"Peru ",0.00%,0
163,"Philippines ",0.00%,0
164,"Poland ",0.00%,0
165,"Portugal ",0.00%,0
166,"Puerto Rico ",0.00%,0
167,"Qatar ",0.00%,0
168,"Reunion ",0.00%,0
169,"Romania ",0.00%,0
170,"Russia ",0.00%,0
171,"Rwanda ",0.00%,0
172,"Saint Helena ",0.00%,0
173,"Saint Kitts & Nevis ",0.00%,0
174,"Saint Lucia ",0.00%,0
175,"St Pierre & Miquelon ",0.00%,0
176,"Saint Vincent and the Grenadines ",0.00%,0
177,"Samoa ",0.00%,0
178,"San Marino ",0.00%,0
179,"Sao Tome & Principe ",0.00%,0
180,"Saudi Arabia ",0.00%,0
181,"Senegal ",0.00%,0
182,"Serbia ",0.00%,0
183,"Seychelles ",0.00%,0
184,"Sierra Leone ",0.00%,0
185,"Singapore ",0.00%,0
186,"Slovakia ",0.00%,0
187,"Slovenia ",0.00%,0
188,"Solomon Islands ",0.00%,0
189,"Somalia ",0.00%,0
190,"South Africa ",0.00%,0
191,"Spain ",0.00%,0
192,"Sri Lanka ",0.00%,0
193,"Sudan ",0.00%,0
194,"Suriname ",0.00%,0
195,"Swaziland ",0.00%,0
196,"Sweden ",0.00%,0
197,"Switzerland ",0.00%,0
198,"Syria ",0.00%,0
199,"Taiwan ",1.49%,1
200,"Tajikistan ",0.00%,0
201,"Tanzania ",0.00%,0
202,"Thailand ",0.00%,0
203,"Togo ",0.00%,0
204,"Tonga ",0.00%,0
205,"Trinidad & Tobago ",0.00%,0
206,"Tunisia ",0.00%,0
207,"Turkey ",1.49%,1
208,"Turkmenistan ",0.00%,0
209,"Turks & Caicos Is ",0.00%,0
210,"Tuvalu ",0.00%,0
211,"Uganda ",0.00%,0
212,"Ukraine ",0.00%,0
213,"United Arab Emirates ",0.00%,0
214,"United Kingdom ",0.00%,0
216,"Uruguay ",0.00%,0
217,"Uzbekistan ",0.00%,0
218,"Vanuatu ",0.00%,0
219,"Venezuela ",0.00%,0
220,"Vietnam ",0.00%,0
221,"Virgin Islands ",0.00%,0
222,"Wallis and Futuna ",0.00%,0
223,"West Bank ",0.00%,0
224,"Western Sahara ",0.00%,0
225,"Yemen ",0.00%,0
226,"Zambia ",0.00%,0
227,Zimbabwe,0.00%,0
,Total,100%,67

Q15 - What state or US territory are you from?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What state or US territory are you from?,5.00,50.00,28.02,15.84,251.00,47

#,Answer,%,Count
1,Alabama,0.00%,0
2,Alaska,0.00%,0
3,American Samoa,0.00%,0
4,Arkansas,0.00%,0
5,California,21.28%,10
6,Colorado,2.13%,1
7,Connecticut,2.13%,1
8,Delaware,0.00%,0
9,District of Columbia (DC),2.13%,1
10,Florida,2.13%,1
11,Georgia,0.00%,0
12,Guam,0.00%,0
13,Hawaii,0.00%,0
14,Idaho,0.00%,0
15,Illinois,0.00%,0
16,Indiana,0.00%,0
17,Iowa,0.00%,0
18,Kansas,0.00%,0
19,Kentucky,0.00%,0
20,Louisiana,2.13%,1
21,Maine,0.00%,0
22,Maryland,0.00%,0
23,Massachusetts,0.00%,0
24,Michigan,2.13%,1
25,Minnesota,0.00%,0
26,Mississippi,0.00%,0
27,Missouri,2.13%,1
28,Montana,0.00%,0
29,Nebraska,0.00%,0
30,Nevada,0.00%,0
31,New Hampshire,0.00%,0
32,New Jersey,8.51%,4
33,New Mexico,0.00%,0
34,New York,27.66%,13
35,North Carolina,2.13%,1
36,North Dakota,0.00%,0
37,Northern Marianas Islands,0.00%,0
38,Ohio,0.00%,0
39,Oklahoma,0.00%,0
40,Oregon,0.00%,0
41,Pennsylvania,4.26%,2
42,Puerto Rico,0.00%,0
43,Rhode Island,0.00%,0
44,South Carolina,0.00%,0
45,South Dakota,0.00%,0
46,Tennessee,2.13%,1
47,Texas,10.64%,5
48,Utah,4.26%,2
49,Vermont,0.00%,0
50,Virginia,4.26%,2
51,Virgin Islands,0.00%,0
52,Washington,0.00%,0
53,West Virginia,0.00%,0
54,Wisconsin,0.00%,0
55,Wyoming,0.00%,0
56,Other,0.00%,0
,Total,100%,47

Q16 - How many languages do you speak fluently?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,How many languages do you speak fluently? - Selected Choice,1.00,3.00,1.76,0.67,0.45,67

#,Answer,%,Count
1,1,37.31%,25
2,2,49.25%,33
3,3,13.43%,9
5,More than 3,0.00%,0
6,Other,0.00%,0
,Total,100%,67

Q16_6_TEXT - Other
Other - Text

Q17 - What is the first language that you learned to speak fluently?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,What is the first language that you learned to speak fluently?,6.00,180.00,66.94,43.62,1903.03,66

#,Answer,%,Count
1,Acholi,0.00%,0
2,Afrikaans,0.00%,0
3,Akan,0.00%,0
4,Albanian,0.00%,0
5,Amharic,0.00%,0
6,Arabic,1.52%,1
